team,stadium,stadium_lat,stadium_lon,facility,facility_lat,facility_lon,airport,airport_lat,airport_lon
Buffalo Bills,Highmark Stadium,42.7737334,-78.7868798,ADPRO Sports Training Center,42.7707735,-78.7856979,Buffalo-Niagara International Airport,42.9402016,-78.7307523
Miami Dolphins,Hard Rock Stadium,25.9579032,-80.2388497,Hard Rock Stadium,25.9579032,-80.2388497,Miami International Airport,25.7949789,-80.2867234
New England Patriots,Gillette Stadium,42.0908879,-71.2641731,Gillette Stadium,42.0908879,-71.2641731,Rhode Island T.F. Green International Airport,41.72244,-71.4285882
New York Jets,MetLife Stadium,40.8135071,-74.0743442,Atlantic Health Jets Training Center,40.7778668,-74.4188183,Newark Liberty International Airport,40.6890641,-74.1772549
Baltimore Ravens,M&T Bank Stadium,39.2779734,-76.6226651,"1 Winning Dr, Owings Mills",39.3970796,-76.8351468,Baltimore–Washington International Airport,39.1747196,-76.6707551
Cincinnati Bengals,Paycor Stadium,39.0954645,-84.5160488,IEL Indoor Facility,39.0934687,-84.5214013,Cincinnati/Northern Kentucky International Airport,39.0499064,-84.6651575
Cleveland Browns,Huntington Bank Field,41.5060559,-81.6997118,"76 Lou Groza Blvd, Berea",41.3822073,-81.8496051,Cleveland Hopkins International Airport,41.4064537,-81.8510152
Pittsburgh Steelers,Acrisure Stadium,40.4467166,-80.0157199,"3200 S Water St, Pittsburgh",40.4248329,-79.959444,Pittsburgh International Airport,40.4917828,-80.2370245
Houston Texans,NRG Stadium,29.6848581,-95.4108015,Houston Methodist Training Center,29.68579,-95.4147445,George Bush Intercontinental Airport,29.9841416,-95.332986
Indianapolis Colts,Lucas Oil Stadium,39.7590621,-86.1638376,"7001 W 56th St, Indianapolis",39.8507056,-86.2846618,Indianapolis International Airport,39.7162533,-86.2950839
Jacksonville Jaguars,EverBank Stadium,30.3239811,-81.6373046,EverBank Stadium,30.3239811,-81.6373046,Jacksonville International Airport,30.49375,-81.6930382
Tennessee Titans,"Nissan Stadium, Nashville",36.1665236,-86.7713148,Saint Thomas Sports Park,36.1986765,-86.8045041,Nashville International Airport,36.1195849,-86.6826622
Denver Broncos,Empower Field at Mile High,39.743952,-105.0192228,Denver Broncos NFL Football Headquarters Campus,39.5793687,-104.8320442,Denver International Airport,39.8606676,-104.6853673
Kansas City Chiefs,Arrowhead Stadium,39.0489357,-94.4839993,Missouri Western State University,39.7582555,-94.7841439,Kansas City International Airport,39.3022045,-94.720828
Las Vegas Raiders,Allegiant Stadium,36.0907359,-115.1833303,Intermountain Health Performance Center,35.9741512,-115.1461017,Harry Reid International Airport,36.0861034,-115.1611002
Los Angeles Chargers,SoFi Stadium,33.9534074,-118.3390098,The Bolt - Home of the Los Angeles Chargers,33.9096622,-118.3878599,Los Angeles International Airport,33.9421675,-118.4213591
Dallas Cowboys,AT&T Stadium,32.7478502,-97.0928337,Dallas Cowboys Headquarters,33.1098439,-96.830034,Dallas/Fort Worth International Airport,32.8965195,-97.0465221
New York Giants,MetLife Stadium,40.8135071,-74.0743442,Quest Diagnostics Training Facility,40.8137542,-74.0855755,Newark Liberty International Airport,40.6890641,-74.1772549
Philadelphia Eagles,Lincoln Financial Field,39.9009099,-75.1674892,NovaCare Complex,39.906992,-75.1758163,Philadelphia International Airport,39.875018,-75.2352128
Washington Commanders,Northwest Stadium,38.9076875,-76.8644869,BigBear.ai Performance Center,39.0261102,-77.4436068,Washington Dulles International Airport,38.9522663,-77.4534849
Chicago Bears,Soldier Field,41.8623356,-87.6176477,Halas Hall,42.2445345,-87.8320095,O'Hare International Airport,41.9782523,-87.9092355
Detroit Lions,Ford Field,42.3399567,-83.0456166,Detroit Lions Meijer Performance Center,42.2989034,-83.201896,Detroit Metropolitan Wayne County Airport,42.2056991,-83.3529754
Green Bay Packers,Lambeau Field,44.5009705,-88.0619681,"841 Armed Forces Dr, Ashwaubenon",44.4989727,-88.0568271,Austin Straubel International Airport,44.4784881,-88.1436201
Minnesota Vikings,U.S. Bank Stadium,44.9751097,-93.2593387,"2700 Vikings Circle, Eagan",44.8577886,-93.1171623,Minneapolis–Saint Paul International Airport,44.8780191,-93.2209281
Atlanta Falcons,Mercedes-Benz Stadium,33.7554123,-84.4008493,"4400 Falcon Pkwy, Flowery Branch",34.1922748,-83.8975345,Hartsfield–Jackson Atlanta International Airport,33.6374009,-84.4298161
Carolina Panthers,Bank of America Stadium,35.225774,-80.8528276,Bank of America Stadium,35.225774,-80.8528276,Charlotte Douglas International Airport,35.2107415,-80.9457435
New Orleans Saints,Caesars Superdome,29.9510489,-90.0823076,"5800 Airline Dr, Metairie",29.9747414,-90.1953387,Louis Armstrong New Orleans International Airport,29.9942002,-90.2643044
Tampa Bay Buccaneers,Raymond James Stadium,27.9759793,-82.5033545,AdventHealth Training Center,27.9789841,-82.4953238,Tampa International Airport,27.9791649,-82.5349276
Arizona Cardinals,State Farm Stadium,33.5277957,-112.2626719,State Farm Stadium,33.5277957,-112.2626719,Phoenix Sky Harbor International Airport,33.4328487,-112.0067915
Los Angeles Rams,SoFi Stadium,33.9534074,-118.3390098,"6100 Owensmouth Ave, Woodland Hills",34.1751436,-118.6015097,Los Angeles International Airport,33.9421675,-118.4213591
San Francisco 49ers,Levi's Stadium,37.4029867,-121.9696489,SAP Performance Facility,37.4032417,-121.9669917,San Jose International Airport,37.3633299,-121.9293365
Seattle Seahawks,Lumen Field,47.5953459,-122.3316443,Virginia Mason Athletic Center,47.535872,-122.1980086,Seattle–Tacoma International Airport,47.4475673,-122.3080159
